"year","ubigeo","distrito_ejecutora_nombre","total_millones","nls_year","nls_year_norm","total_dist_mat","edu_dist_mat"
2010,"160101","IQUITOS",66,4.814638,1,72036,72036
2010,"160102","ALTO NANAY",2,0,0,1235,1235
2010,"160103","FERNANDO LORES",6,0.0367573,0.00763448882345879,8974,8974
2010,"160104","INDIANA",4,0.0158691,0.00329601103966695,5927,5927
2010,"160105","LAS AMAZONAS",4,0.0091148,0.00189314336820338,4319,4319
2010,"160106","MAZAN",4,0.0091301,0.00189632117721,5256,5256
2010,"160107","NAPO",5,0.0126226,0.00262171320045245,5933,5933
2010,"160108","PUNCHANA",17,0.9721776,0.201921224399425,25280,25280
2010,"160110","TORRES CAUSANA",3,0,0,1801,1801
2010,"160112","BELEN",199,2.661261,0.552743736912308,19377,19377
2010,"160113","SAN JUAN BAUTISTA",49,0.8330762,0.173029872650862,30675,30675
2010,"160201","YURIMAGUAS",23,0.6336346,0.131605865280007,25747,25747
2010,"160202","BALSAPUERTO",5,0,0,5817,5817
2010,"160205","JEBEROS",2,0,0,1520,1520
2010,"160206","LAGUNAS",4,0.063367,0.0131613217857708,5238,5238
2010,"160210","SANTA CRUZ",2,0.0217749,0.00452264531622107,1702,1702
2010,"160211","TENIENTE CESAR LOPEZ ROJAS",2,0.0221095,0.0045921417144965,1823,1823
2010,"160301","NAUTA",13,0.0677364,0.0140688458820788,12275,12275
2010,"160302","PARINARI",3,0.0124705,0.00259012204032785,2920,2920
2010,"160303","TIGRE",4,0.0655122,0.0136068796864894,3272,3272
2010,"160304","TROMPETEROS",3,0.2651993,0.0550818773914051,3144,3144
2010,"160305","URARINAS",4,0.0229798,0.00477290296799053,4609,4609
2010,"160401","RAMON CASTILLA",18,0.0504057,0.0104692606173091,7299,7299
2010,"160402","PEBAS",5,0,0,5068,5068
2010,"160403","YAVARI",4,0.057424,0.011926961071632,4338,4338
2010,"160404","SAN PABLO",4,0.0161409,0.00335246388201979,4328,4328
2010,"160501","REQUENA",10,0.2007018,0.0416857508290343,12332,12332
2010,"160502","ALTO TAPICHE",1,0,0,658,658
2010,"160503","CAPELO",2,0.0883363,0.0183474437745891,1470,1470
2010,"160504","EMILIO SAN MARTIN",3,0,0,2978,2978
2010,"160505","MAQUIA",3,0.0128693,0.00267295277443496,3618,3618
2010,"160506","PUINAHUA",2,0.0101103,0.00209990865356855,1891,1891
2010,"160507","SAQUENA",2,0,0,1612,1612
2010,"160508","SOPLIN",1,0,0,250,250
2010,"160509","TAPICHE",1,0,0,741,741
2010,"160510","JENARO HERRERA",3,0.1250633,0.0259756392900152,1866,1866
2010,"160511","YAQUERANA",2,0,0,1672,1672
2010,"160601","CONTAMANA",13,0.0657462,0.0136554814712965,11772,11772
2010,"160602","INAHUAYA",1,0.1743818,0.0362190885379129,866,866
2010,"160603","PADRE MARQUEZ",3,0.0237546,0.00493382887768509,2229,2229
2010,"160604","PAMPA HERMOSA",3,0.0112818,0.00234322912750657,2642,2642
2010,"160605","SARAYACU",5,0,0,7076,7076
2010,"160606","VARGAS GUERRA",3,0.1325029,0.0275208437269843,3583,3583
2010,"160701","BARRANCA",21,0.0152235,0.00316191996158382,5810,5810
2010,"160702","CAHUAPANAS",3,0,0,4500,4500
2010,"160703","MANSERICHE",3,0.1130557,0.0234816615496326,3807,3807
2010,"160704","MORONA",3,0.0115724,0.00240358672863879,2622,2622
2010,"160705","PASTAZA",3,0,0,6983,6983
2010,"160706","ANDOAS",4,0.0860401,0.0178705231836744,713,713
2010,"160801",NA,3,0.0019892,0.000413156710847212,NA,798
2010,"160802",NA,3,0,0,NA,798
2010,"160803","TENIENTE MANUEL CLAVERO",2,0.0104603,0.0021726036308441,786,786
2010,"160804",NA,3,0,0,NA,798
2011,"160101","IQUITOS",86,3.2008534,0.664817043358192,69206,69206
