"year","ubigeo","enfermedad","n","pop_landscan","malaria_incidence"
2010,"160101",0,271,182719.4,1.4831484779394
2010,"160101",1,243,182719.4,1.32990804479437
2010,"160102",0,273,6343.9,43.0334652185564
2010,"160102",1,213,6343.9,33.5755607749176
2010,"160103",0,63,5345.8,11.7849526731266
2010,"160103",1,2,5345.8,0.374125481686558
2010,"160104",0,43,2837.4,15.1547191090435
2010,"160104",1,4,2837.4,1.40974131246916
2010,"160105",0,25,3206,7.79787897691828
2010,"160105",1,4,3206,1.24766063630692
2010,"160106",0,423,2954,143.195666892349
2010,"160106",1,132,2954,44.685172647258
2010,"160107",0,428,8745.7,48.9383354105446
2010,"160107",1,121,8745.7,13.8353705249437
2010,"160108",0,216,65237,3.31100449131628
2010,"160108",1,95,65237,1.45622882719929
2010,"160110",0,7,2647.8,2.64370420726641
2010,"160110",1,1,2647.8,0.377672029609487
2010,"160112",0,187,28935.3,6.4626943560288
2010,"160112",1,17,28935.3,0.58751766872989
2010,"160113",0,2259,130827.9,17.2669591119325
2010,"160113",1,153,130827.9,1.16947531833806
2010,"160201",0,128,73166.6,1.74943211793359
2010,"160201",1,64,73166.6,0.874716058966796
2010,"160202",0,47,3186.3,14.7506512255594
2010,"160202",1,8,3186.3,2.51074914477607
2010,"160205",0,6,5150.2,1.16500330084269
2010,"160205",1,1,5150.2,0.194167216807114
2010,"160206",0,12,12850.8,0.933794005042488
2010,"160206",1,2,12850.8,0.155632334173748
2010,"160210",0,8,2213.1,3.61483891374091
2010,"160211",0,11,4468.4,2.46173126846299
2010,"160211",1,2,4468.4,0.447587503356906
2010,"160301",0,294,18767.1,15.6657128698627
2010,"160302",0,14,6394.1,2.18951846233246
2010,"160303",0,85,11180.7,7.60238625488565
2010,"160303",1,7,11180.7,0.626078868049406
2010,"160304",0,692,24092.1,28.7231084048298
2010,"160304",1,78,24092.1,3.23757580285654
2010,"160305",0,224,6885.8,32.5307153852857
2010,"160305",1,50,6885.8,7.26132039850126
2010,"160401",0,400,12836.1,31.1621131028895
2010,"160401",1,52,12836.1,4.05107470337564
2010,"160402",0,103,13295.3,7.74709859875294
2010,"160402",1,12,13295.3,0.902574594029469
2010,"160403",0,731,12393.8,58.9811034549533
2010,"160403",1,387,12393.8,31.225290064387
2010,"160404",0,76,15041,5.05285552822286
2010,"160501",0,22,19255.6,1.14252477201438
2010,"160501",1,5,19255.6,0.259664720912358
2010,"160502",0,228,3966.5,57.4814067817976
2010,"160502",1,32,3966.5,8.06756586411194
2010,"160504",0,56,4678.7,11.9691367260136
2010,"160504",1,8,4678.7,1.7098766751448
2010,"160505",0,8,6259.9,1.27797568651256
2010,"160505",1,8,6259.9,1.27797568651256
2010,"160506",0,3,2719.7,1.10306283781299
2010,"160507",0,6,1490.2,4.0263051939337
2010,"160508",0,283,1699.8,166.490175314743
2010,"160508",1,161,1699.8,94.7170255324156
2010,"160509",0,1,1260.2,0.793524837327408
2010,"160509",1,1,1260.2,0.793524837327408
2010,"160510",0,1,6411.9,0.155960011852961
2010,"160511",0,725,5415.7,133.870044500249
2010,"160511",1,305,5415.7,56.3177428587256
2010,"160601",0,9,31305.4,0.287490337130335
2010,"160601",1,1,31305.4,0.0319433707922595
2010,"160603",0,1,4115.6,0.242977937603266
2010,"160605",0,136,14665.3,9.27359140283527
2010,"160606",0,2,6757.8,0.295954304655361
2010,"160701",0,22,11886.6,1.85082361650935
2010,"160701",1,13,11886.6,1.09366850066461
2010,"160702",0,48,3684,13.0293159609121
2010,"160702",1,5,3684,1.35722041259501
2010,"160703",0,72,11301.9,6.37061025137366
2010,"160704",0,15,7396.2,2.02806846759147
2010,"160705",0,211,11053.1,19.0896671522016
2010,"160705",1,9,11053.1,0.814251205544146
2010,"160706",0,172,9518.1,18.0708334646621
2010,"160706",1,19,9518.1,1.9961967199336
2010,"160801",0,127,4293.5,29.5795970653313
2010,"160801",1,3,4293.5,0.698730639338535
2010,"160803",0,34,3587.9,9.47629532595669
2010,"160803",1,20,3587.9,5.57429136820982
2011,"160101",0,604,172654.7,3.49831194864663
2011,"160101",1,207,172654.7,1.19892479034744
2011,"160102",0,534,5957.4,89.6364185718602
2011,"160102",1,321,5957.4,53.8825662201632
2011,"160103",0,35,5142,6.80669000388954
2011,"160103",1,7,5142,1.36133800077791
2011,"160104",0,103,2702.9,38.1072181730734
2011,"160104",1,103,2702.9,38.1072181730734
2011,"160105",0,77,2744.6,28.0550899948991
2011,"160105",1,5,2744.6,1.82175909057786
2011,"160106",0,1133,2714.9,417.326605031493
2011,"160106",1,636,2714.9,234.26277210947
2011,"160107",0,504,8090.7,62.2937446698061
2011,"160107",1,111,8090.7,13.7194556713263
2011,"160108",0,1119,61684.7,18.1406410341624
2011,"160108",1,184,61684.7,2.98291148372287
2011,"160110",1,1,2515.2,0.397582697201018
2011,"160112",0,146,27362.2,5.33582825942358
2011,"160112",1,34,27362.2,1.24259014260549
2011,"160113",0,1203,123679,9.72679274573695
2011,"160113",1,310,123679,2.50648857122066
2011,"160201",0,57,75129.3,0.758692014966198
2011,"160201",1,5,75129.3,0.0665519311373858
2011,"160202",0,21,2402.9,8.73943984352241
2011,"160205",0,3,5245.5,0.57191878753217
2011,"160206",0,10,13134.9,0.761330501183869
2011,"160211",0,2,4575,0.437158469945355
2011,"160211",1,1,4575,0.218579234972678
2011,"160301",0,59,16577.4,3.55906233788169
2011,"160301",1,5,16577.4,0.301615452362855
2011,"160302",0,10,5644.9,1.77151056706053
2011,"160302",1,1,5644.9,0.177151056706053
2011,"160303",0,658,9895.7,66.4935274917388
2011,"160303",1,41,9895.7,4.14321371909011
2011,"160304",0,190,21488.2,8.84206215504323
2011,"160304",1,6,21488.2,0.279223015422418
2011,"160305",0,7,6443.8,1.08631552810453
2011,"160401",0,264,12120.9,21.7805608494419
2011,"160401",1,7,12120.9,0.577514871007928
2011,"160402",0,136,12627.2,10.7704004054739
2011,"160402",1,5,12627.2,0.395970603142423
2011,"160403",0,710,12142,58.4747158622962
2011,"160403",1,135,12142,11.1184318893098
2011,"160404",0,55,14648.7,3.7545993842457
2011,"160404",1,10,14648.7,0.682654433499218
2011,"160501",0,12,17845.1,0.672453502642182
2011,"160501",1,7,17845.1,0.392264543207939
2011,"160502",0,36,3651.1,9.86004217906932
2011,"160503",0,1,1397.5,0.715563506261181
2011,"160504",0,18,4302.5,4.1836141778036
2011,"160504",1,3,4302.5,0.697269029633934
2011,"160505",0,2,5622,0.355745286374956
2011,"160505",1,2,5622,0.355745286374956
2011,"160507",0,3,1362.5,2.20183486238532
2011,"160508",0,164,1547.9,105.949996769817
2011,"160508",1,94,1547.9,60.727437172944
2011,"160509",0,1,1165.1,0.858295425285383
2011,"160510",0,3,5942.3,0.504855022466048
2011,"160510",1,1,5942.3,0.168285007488683
2011,"160511",0,460,4599.1,100.019569046118
