"ubigeo","c3_p1_1","c3_p1_2","c3_p1_3","c3_p1_4","c3_p1_5","c3_p1_6","c3_p1_7","c3_p1_8","c3_p2_1","c3_p2_2","c3_p2_3","c3_p2_4","c3_p2_5","c3_p2_6","c3_p2_7","c3_p2_8","c3_p2_9","c3_p2_10","c3_p2_11","c3_p2_12","c3_p2_13","c3_p2_14","c3_p2_15","c3_p2_16","c4_p1","c2_p11","c2_p12","c2_p13","t_c4_p1","c2_p1_1","c2_p1_2","c2_p1_3","c2_p1_4","c2_p1_5","c2_p1_6","c2_p1_7","c2_p3_1","c2_p3_2","c2_p3_3","c2_p3_4","c2_p3_5","c2_p3_6","c2_p3_7","c2_p3_8","c2_p3_9","c2_p4_1","c2_p4_2","c2_p4_3","c2_p4_4","c2_p4_5","c2_p4_6","c2_p4_7","c2_p4_8","c2_p5_1","c2_p5_2","c2_p5_3","c2_p5_4","c2_p5_5","c2_p5_6","c2_p6_1","c2_p6_2","c2_p6_3","c2_p6_4","c2_p6_5","c2_p6_6","c2_p6_7","c2_p6_8","c2_p6_10","c2_p10_1","c2_p10_2","c2_p10_3","c2_p10_4","c2_p10_5","c2_p10_6","c2_p10_7","c2_p10_8","c5_p8_1","c5_p8_2","c5_p8_3","c5_p8_4","c5_p8_5","c5_p8_6","c5_p12","c5_p15","c5_p16","c5_p23","c5_p11_recat","c5_p13_niv_recat","c5_p11_recat_1","c5_p11_recat_2","c5_p11_recat_3","c5_p11_recat_4","c5_p13_niv_recat_1","c5_p13_niv_recat_3","c5_p13_niv_recat_4","c5_p13_niv_recat_6"
"160101",0.0423689755069792,0.846161443244667,0,0.167566499868317,0.0912891756649987,0,0.00171187779826179,0.039570713721359,0.39797866736897,0.0858243350013243,0.129411377403219,0.272089807742958,0.515406900184362,0.716651303660774,0.232387411114043,0.196833026073214,0.537068738477758,0.109527258361865,0.706182512509883,0.3918554121675,0.650974453515948,0.940248880695287,0.440314722149055,0.972083223597583,4.09494337634975,0.02663753919876,3.24604488918644,2.59085303548149,4.38279130404143,0.942778619498961,0.00891441457312991,0.0393220816743596,0.00412247630456996,0.00285402205700997,0.000246643881469998,0.00176174201049998,0.837426447271062,0.00186744653112998,0.00264261301574997,0.000105704520629999,0,0.000422818082519996,0.142102110566929,0.0154328600119798,0,0.123392410415419,0.0326626968746697,0.00570804411401994,0.823367746027272,0.00225502977343998,0.00563757443359994,0.00697649836157993,0,0.00303019625805997,0.00902011909375991,0.253408970790317,0.0625066065325394,0.587188612099644,0.0848454952256791,0.890490116627321,0.0404848314012896,0.00792783904724992,0.00419294598498996,0.0401324829991896,0.000281878721679997,0.0101476339804799,0.00341777950036997,0.00292449173742997,0.854621049293541,0.0647968711461894,0.00672985448010993,0.0189915788731898,0.0129311863570699,0.0232549945385998,0.0166308445791198,0.00204362073217998,0.405333201054448,0.346445477479524,0.0318532271322871,0.0273037784517721,0.0110122168995716,0.186144731993533,0.0744564755236866,0.119382710550931,0.591024815638528,0.177196804647785,1.42899458601442,4.24408288216786,0.85476487428782,0.00326681595283313,0.000177159216531081,0.141791150542816,0.0729541653674991,0.209933671589331,0.380672638113325,0.336439524929845
"160102",0,0.0882352941176471,0,0.00154798761609907,0.905572755417957,0,0,0.00619195046439629,0.886996904024768,0.715170278637771,0.874613003095975,0.908668730650155,0.998452012383901,0.990712074303406,0.93343653250774,0.922600619195047,0.976780185758514,0.687306501547988,0.987616099071208,0.936532507739938,0.993808049535604,1,1,0.687306501547988,4.3359133126935,0.277070063694267,1.85031847133758,2.24203821656051,4.46019108280255,0.996815286624204,0,0,0,0.00318471337579618,0,0,0.00636942675159236,0,0.00636942675159236,0,0,0.00318471337579618,0.96656050955414,0.017515923566879,0,0.00159235668789809,0.00796178343949045,0,0.778662420382166,0,0.00955414012738853,0.202229299363057,0,0,0,0,0.501592356687898,0.17515923566879,0.323248407643312,0.00159235668789809,0,0.103503184713376,0,0.0270700636942675,0,0.867834394904459,0,0,0.00159235668789809,0.00477707006369427,0.0159235668789809,0.178343949044586,0.398089171974522,0.0477707006369427,0.348726114649682,0.00477707006369427,0.906510219530658,0.0355791067373204,0.00264950794852386,0.000757002271006797,0,0.0548826646479936,0.194171082513248,0.019755409219191,0.7336,0.0124688279301746,1.06018168054504,3.07153671461014,0.978425435276306,0.00227100681302044,0,0.0193035579106737,0.158213474640424,0.529523088569266,0.27441332323997,0.0378501135503407
"160103",0.00410872313527181,0.157711757269279,0,0.187420986093552,0.777812895069532,0,0.000316055625790139,0.00948166877370417,0.876422250316057,0.672566371681419,0.800884955752209,0.881795195954491,0.983881163084703,0.990202275600505,0.8590391908976,0.829013906447539,0.966498103666244,0.592920353982298,0.964285714285714,0.791719342604293,0.989886219974715,0.996523388116308,0.949431099873577,0.764222503160556,4.13811630847029,0.569696969696969,1.90271132376395,2.30653907496012,4.17639553429028,0.998724082934609,0.000318979266347687,0,0,0.000956937799043062,0,0,0.0634768740031898,0.000956937799043062,0.00574162679425837,0.000956937799043062,0,0.00414673046251994,0.89792663476874,0.0267942583732057,0,0.00701754385964912,0.0127591706539075,0.00542264752791069,0.644338118022329,0.000318979266347687,0.00574162679425837,0.324401913875598,0,0,0,0.00542264752791069,0.533014354066986,0.188197767145136,0.273365231259968,0.303030303030303,0.0178628389154705,0.0768740031897927,0,0.14066985645933,0.00542264752791069,0.452950558213716,0.00287081339712919,0.000318979266347687,0.124401913875598,0.0264752791068581,0.0373205741626794,0.15311004784689,0.189792663476874,0.0676236044657097,0.376714513556619,0.0245614035087719,0.806476484194296,0.0774865073245937,0.00346954510408643,0.00146491904394752,0.000539707016191206,0.111796453353893,0.161526599845797,0.0118078175895765,0.700178658437551,0.0090845562543676,1.0905165767155,3.18257517347726,0.969159599074788,0.00100231303006939,0,0.0298380878951426,0.144101773323053,0.494448727833462,0.306784888203547,0.0546646106399383
"160104",0.00314889788573999,0.142600089968511,0,0.0638776428250113,0.906432748538012,0,0.000449842555105713,0.00899685110211426,0.890688259109312,0.699055330634276,0.825011246063878,0.896986054880789,0.9842555105713,0.990103463787674,0.890238416554204,0.854700854700854,0.977507872244714,0.600089968511026,0.954565901934323,0.880791722896985,0.986054880791723,0.997300944669366,0.961313540260908,0.701754385964912,4.39676113360324,0.431399631675874,1.91068139963168,2.24953959484346,4.5,0.993554327808471,0,0.00276243093922652,0,0.00138121546961326,0.000460405156537753,0.00184162062615101,0.0515653775322284,0.000460405156537753,0.00828729281767956,0,0,0.00276243093922652,0.916666666666667,0.0202578268876611,0,0.00230202578268877,0.0133517495395948,0.00506445672191529,0.678637200736648,0.000460405156537753,0.00276243093922652,0.297421731123389,0,0,0,0.00230202578268877,0.675414364640884,0.18646408839779,0.135819521178637,0.348526703499079,0.0308471454880295,0.127992633517495,0.00184162062615101,0.035451197053407,0.00736648250460405,0.423112338858195,0.0202578268876611,0.00460405156537753,0.123388581952118,0.0276243093922652,0.0248618784530387,0.277163904235727,0.275322283609576,0.0179558011049724,0.244014732965009,0.00966850828729282,0.862113127001068,0.0504802561366061,0.00256136606189964,0.00149413020277476,0.00149413020277479,0.0828175026680903,0.191675560298826,0.0239455782312925,0.768758526603,0.0279130152547873,1.06051227321238,3.07662753468516,0.97854855923159,0.00181430096051227,0.000213447171824973,0.0194236926360726,0.181856990394877,0.470651013874066,0.301067235859125,0.0464247598719317
"160105",0.00473372781065089,0.112426035502959,0,0.0236686390532544,0.946153846153846,0,0.000591715976331361,0.00828402366863905,0.894674556213017,0.771597633136093,0.853254437869823,0.926035502958581,0.996449704142012,0.995266272189349,0.937278106508875,0.89940828402367,0.984615384615385,0.667455621301779,0.957396449704142,0.968639053254437,0.997041420118343,1,0.994082840236687,0.400591715976331,4.48994082840237,0.544047619047616,1.78869047619047,2.14880952380953,4.51666666666667,0.967857142857143,0,0.00535714285714286,0,0.025,0,0.00178571428571429,0.0357142857142857,0.00178571428571429,0.00238095238095238,0,0.000595238095238095,0.00476190476190476,0.949404761904762,0.00535714285714286,0,0.00119047619047619,0.0273809523809524,0.00297619047619048,0.74702380952381,0,0.00178571428571429,0.219642857142857,0,0,0.000595238095238095,0,0.9125,0.0630952380952381,0.0238095238095238,0.107738095238095,0.00952380952380952,0.00416666666666667,0,0.0166666666666667,0,0.858333333333333,0.00357142857142857,0,0.0345238095238095,0.0113095238095238,0.0136904761904762,0.280952380952381,0.189880952380952,0.0297619047619048,0.43452380952381,0.00535714285714286,0.844355909694555,0.0423638778220455,0.00305444887118186,0.00106241699867191,0.00172642762284192,0.108764940239044,0.211288180610889,0.0191304347826087,0.742723933314496,0.00620525059665873,1.15351925630811,2.98127490039841,0.947675962815405,0.00172642762284197,0,0.050597609561753,0.176228419654714,0.545019920318725,0.251261620185923,0.0274900398406374
"160106",0.00418118466898955,0.0961672473867596,0,0.0390243902439024,0.905226480836237,0,0,0.00905923344947735,0.899303135888502,0.740418118466903,0.861324041811845,0.908362369337981,0.992334494773519,0.99581881533101,0.917770034843207,0.878048780487807,0.985365853658537,0.670383275261328,0.985365853658537,0.902090592334494,0.99581881533101,0.997909407665505,0.961324041811845,0.527874564459935,4.21358885017422,0.61871262750615,1.72951107984524,2.21350685895181,4.253605346465,0.995779106577559,0,0.00140696447414703,0.000703482237073514,0.000703482237073514,0.000703482237073514,0.000703482237073514,0.0334154062609919,0,0.000351741118536757,0.000351741118536757,0,0.0073865634892719,0.952514948997538,0.00597959901512487,0,0.0049243756595146,0.0249736194161097,0.00140696447414703,0.472388322194865,0,0.00316567006683081,0.493141048188533,0,0,0.00105522335561027,0.00457263454097784,0.775237425255012,0.11501934576152,0.10411537108688,0.258529722124516,0.01301442138586,0.0327119240239184,0.00175870559268378,0.075272599366866,0.00140696447414703,0.60851213506859,0.00562785789658811,0.00316567006683081,0.0446711220541681,0.0200492437565951,0.0524094266619768,0.177981005979599,0.128385508265916,0.0661273302849103,0.50545198733732,0.0049243756595146,0.899441340782123,0.0208388755874786,0.00203954952558315,0.00106411279595635,0.00195087345925341,0.0764387691761991,0.220626053028288,0.0189990732159406,0.654131054131053,0.0145936237090257,1.05435842866011,2.98120067393811,0.972510419437794,0.0140108184800922,8.86760663296976e-05,0.0133900860157843,0.175755963465461,0.546333244657267,0.250509887381396,0.0274009044958766
"160107",0.00773629330642449,0.0746720484359233,0,0.00941809619912546,0.943155062226707,0,0,0.00504540867810293,0.919273461150352,0.81062899428187,0.903128153380425,0.927009754456779,0.985536495122771,0.988563740329633,0.918600739993274,0.891691893710054,0.969727547931382,0.808947191389172,0.990918264379415,0.956945845946854,0.998654557685839,0.997645475950219,0.980491086444669,0.414396232761521,4.56945845946855,0.602936155684529,1.62307954933424,2.20689655172414,4.63810174120861,0.568794810515534,0,0.00443837487196996,0,0.423352680095596,0.00136565380675999,0.00204848071013998,0.0249231819733698,0.000341413451689997,0.00136565380675999,0,0,0.00443837487196996,0.96312734721748,0.00580402867872994,0,0.00238989416182998,0.0273130761351997,0.000341413451689997,0.293956981905087,0.00102424035506999,0.00477978832365995,0.670194605667463,0,0,0.000341413451689997,0.00204848071013998,0.898941618299761,0.0734038921133493,0.0252645954250597,0.0891089108910891,0.0184363263912598,0.00102424035506999,0,0.180266302492318,0,0.708091498805053,0.00307272106520997,0,0.0426766814612496,0.0218504609081598,0.0273130761351997,0.129737111642199,0.0754523728234892,0.103106862410379,0.596449300102424,0.00341413451689997,0.804140012937536,0.0624595701861573,0.00388126212894325,0.00330626033206339,0.00165313016603172,0.126500395313736,0.221160066125206,0.0179194418014587,0.74733150350717,0.00562622309197654,1.53317041615751,3.00093437791993,0.821102565945519,0.00172500539064185,7.18752246100769e-05,0.17710055343923,0.178106806583771,0.557032990728096,0.218716308488464,0.0461438941996694
"160108",0.0265703367566277,0.681991879627418,0,0.229878194411273,0.255970862192501,0,0.000417960353475042,0.0258538332935276,0.507941246716024,0.191366133269648,0.285944590398873,0.476833054693103,0.741879627418198,0.859207069500836,0.414915213756866,0.380582756149979,0.745223310246002,0.206651540482456,0.85944590398854,0.530690231669459,0.850728445187485,0.971339861475997,0.608251731550046,0.957427752567472,4.30140912347743,0.104025990572054,2.66435214677029,2.39450885463116,4.58911963307427,0.958529749012613,0.00178366670913492,0.0236335838960377,0.00350363103580074,0.0110205121671551,0.00044591667728373,0.00108294050197477,0.487705440183463,0.00165626194419671,0.00159255956172761,0.000191107147407313,0.000191107147407313,0.000955535737036565,0.473627213657791,0.0340807746209708,0,0.0691807873614473,0.0528729774493566,0.00356733341826984,0.842272901006498,0.00197477385654223,0.00904573831061282,0.0210854885972735,0,0.0028666072111097,0.00522359536246656,0.106765193018219,0.368263473053892,0.395273283220792,0.12160784813352,0.548095298764174,0.0702637278634221,0.0892470378392152,0.0644031086762645,0.126067014906357,0.000764428589629252,0.0429991081666454,0.0320422983819595,0.0261179768123328,0.497961523760989,0.0968276213530386,0.0328704293540578,0.173015670786087,0.0734488469868773,0.052490763154542,0.0613453943177475,0.0120397502866607,0.579373390314997,0.224478532816345,0.0255709959527933,0.0132454079755474,0.00730195567882744,0.155095802790591,0.120411513316164,0.284933262951512,0.662692336281871,0.269983104937113,1.06008547250447,3.71484164944952,0.977386579118671,0.00375003537769224,0.000254719384145133,0.0186086661194917,0.114779384711177,0.310050094812215,0.390555571278974,0.184614949197634
"160110",0,0.0714285714285714,0,0.00833333333333333,0.983333333333333,0,0,0.00119047619047619,0.913095238095238,0.888095238095238,0.90952380952381,0.944047619047619,0.995238095238095,0.996428571428571,0.951190476190476,0.95,0.977380952380952,0.842857142857143,0.995238095238095,0.96547619047619,1,1,0.998809523809524,0.158333333333333,4.775,0.757467144563919,1.35244922341696,2.14695340501792,4.7921146953405,0.996415770609319,0,0,0,0.001194743130227,0,0.002389486260454,0.013142174432497,0,0,0,0,0.001194743130227,0.982078853046595,0.003584229390681,0,0.001194743130227,0.002389486260454,0.004778972520908,0.38231780167264,0,0.001194743130227,0.608124253285544,0,0,0,0.001194743130227,0.927120669056153,0.0537634408602151,0.017921146953405,0.0812425328554361,0.00716845878136201,0.003584229390681,0,0.114695340501792,0.00716845878136201,0.777777777777778,0.00716845878136201,0.001194743130227,0.015531660692951,0.004778972520908,0.02389486260454,0.031063321385902,0.102747909199522,0.0525686977299881,0.757467144563919,0.01194743130227,0.899405223687613,0.0367209723299719,0.00827514869407818,0.000258598396689929,0.00258598396689942,0.0548228600982674,0.268166537367469,0.0253164556962025,0.526698350573106,0.0092753623188407,3.29971554176364,2.86216705456426,0.232738557020946,0.00103439358675976,0,0.766227049392294,0.239462115334885,0.52288595810706,0.185932247220067,0.0517196793379881
"160112",0.0225399732337818,0.623934634077622,0,0.239135028527154,0.292244840459252,0,0.000281749665422272,0.0280340917095161,0.549270972740723,0.209058251743349,0.341410157075451,0.522716066774656,0.764175530041545,0.878213707121218,0.44939071634854,0.398112277241661,0.763612030710701,0.223286609847151,0.866661970838916,0.588645488483469,0.863914911601041,0.976473902937239,0.668521518630709,0.903923364091006,4.41839825315207,0.114947649810636,2.56731269027997,2.3958565382045,4.65790450731417,0.969183931090815,0.00178213410559145,0.0179698522313804,0.000742555877329769,0.00846513700155937,0.000742555877329769,0.00111383381599465,0.456300586619143,0.00215341204425633,0.00259894557065419,0.000222766763198931,0,0.00118808940372763,0.499665849855202,0.0378703497438182,0,0.0549491349224029,0.0472265537981733,0.0028959679215861,0.85483032598203,0.00155936734239252,0.00646023613276899,0.032078413900646,0,0.00133660057919358,0.00304447909705205,0.0938590628944828,0.324422662805376,0.40558402019752,0.171753174426376,0.724808791861588,0.0600727704759783,0.0328952253657088,0.0302220242073216,0.0196034751615059,0,0.0780426227073587,0.0340833147694364,0.0202717754511027,0.508873542734091,0.0944531075963466,0.0264349892329398,0.159278235687235,0.0470037870349744,0.077151555654563,0.0780426227073587,0.00876215935249127,0.601077678542004,0.193438354810007,0.0162146129255509,0.0102000461391436,0.00616287117292275,0.176185611178858,0.119417987674254,0.328055199256933,0.638057760981869,0.285107078633317,1.02687605048941,3.66095969416339,0.988679431829417,0.00347691395049929,0.000131826121345945,0.00771182809873776,0.114622812510299,0.323880301881818,0.397142668819827,0.164354216788057
