"year","iddist","pop_worldp","pop_landscan","malaria_cases","malaria_incidence","deforest_km2","deforest_cum","deforest_cum_percent","deforest_cum_cat","lst_dist","lst_night_dist","skintemp_dist","tmmx_dist","tmmn_dist","prep_dist","prep_dist_chrips","spei_06_dist","spei_12_dist","spei_24_dist","ndvi_dist","evi_dist","savi_dist","lclu_urban","lclu_livestock","lclu_natural_water","areakm2_ilegal_mining","area_mining_km2","total_miningkm2","lclu_mining","lclu_agriculture","lclu_agromosaic","prop_migration","areakm2_logging_cum","area_oil_km2","protected_area_total","wi_prop","edu_prop","prop_area_ethnicity","prop_urbanization"
2009,160101,144490.2996127,180634.5,478,2.64622760325409,1.2289536,1.23,1.23,0,26.8609509,21.0092377,25.3783533666667,31.4333333333333,21.3333333333333,2673.7201342,2342.5137885,-0.226267733333333,0.153818625,1.61897080833333,0.835773575,0.566479075,1.252491425,12.4926219,0.146051,13.7827876,0,0,0,0.0142738,0,125.6481664,0.090268091844803,0,0,0.00193964379972539,0.298520991094966,0.845835248618071,0,0.978726606863126
2010,160101,147622.6304561,182719.4,514,2.81305652273377,0.8683027,2.1,70.73,1,28.073385,21.6726151,25.8532537,31.725,21.5833333333333,1724.9109183,1820.12285,-2.072063075,-2.03609616666667,-1.04333278333333,0.82156575,0.555744825,1.22830173333333,12.4842079,0.0961619,11.9397253,0,0,0,0.0098132,0,129.0528225,0.0889528819991709,0,0,0.00193964379972539,0.298265588974052,0.836848851763703,0,0.979021723988372
2011,160101,145452.1824928,172654.7,811,4.69723673899407,0.8447989,2.94,40,1,27.2069297,20.5142232,25.2861772916667,31.3416666666667,21.2,3324.6511643,2861.5447022,-3.407320025,-4.5552397,-3.72027593333333,0.823353025,0.562958191666667,1.23210974166667,12.5421158,0.0214108,14.6950901,0,0,0,0.0035684,0,129.0681291,0.0876376721535388,0,0,0.00193964379972539,0.294286548973023,0.85497898413694,0,0.979316841113619
2012,160101,146294.6939657,181439.5,915,5.04300331515464,1.1065462,4.05,37.76,1,27.3209757,20.7753916,25.2557457666667,31.2916666666667,21.175,2400.8809002,3270.2326003,-1.54281974166667,-2.08183314166667,-3.81349070833333,0.82871995,0.55618455,1.23957521666667,12.5368815,0.0258706,12.725201,0,0,0,0.0035684,0,135.2290283,0.0863224623079068,0,0,0.00193964379972539,0.299168104137853,0.845503000322769,0,0.979611958238865
2013,160101,148146.7986697,194034.1,2569,13.2399408145269,0.535988,4.58,13.09,1,27.5934319,20.8995538,25.3173095333334,31.3166666666667,21.2083333333333,3033.4207017,2791.8300481,-0.420228208333333,-1.28878669166667,-2.029680625,0.833000166666667,0.552126308333333,1.24625323333333,12.5501162,0.350094,13.1544726,0,0,0,0.0026763,0,134.8923571,0.0850072524622747,0,0,0.00193964379972539,0.318459068536303,0.848761212144749,0,0.979907075364112
2014,160101,152060.8678423,195967.8,3556,18.1458382448545,1.0958391,5.68,24.02,1,27.1603671,21.1108046,25.3024553416667,31.3583333333333,21.275,1836.7764301,2831.459841,0.25930615,0.167048083333333,-0.593687041666667,0.815477641666667,0.561146858333333,1.21510011666667,12.5618366,0.2987584,13.288816,0,0,0,0.0071369,0,138.063498,0.0836920426166426,0,0,0.00193964379972539,0.348566454521056,0.849124597162583,0,0.980202192489358
2015,160101,150986.9590581,197757.5,1972,9.97180890737393,0.6915429,6.37,12.15,1,27.7044148,21.4645826,25.5771256166667,31.7583333333333,21.6666666666667,2226.3977687,2751.5612401,0.781895916666667,1.20877716666667,0.835096908333333,0.81782585,0.56142805,1.22392379166667,12.627654,0.2693786,12.7419136,0,0,0,0.0432031,0,139.5266447,0.0823768327710106,0,0,0.00193964379972539,0.357965313464506,0.847303378916957,0,0.980497309614604
2016,160101,161629.325431,198547.7,2378,11.9769707732701,0.6838904,7.06,10.83,1,28.0507539,21.2378923,25.825034725,31.7833333333333,21.7166666666667,2683.534704,2800.8622024,-0.20563665,-0.153474741666667,0.699611941666667,0.83172645,0.55419405,1.245663875,12.6393846,0.4001919,13.759306,0,0,0,0.0458794,0,142.4194722,0.0810616229253785,0,0,0.00193964379972539,0.357236156665193,0.843855388685489,0,0.980792426739851
2017,160101,162214.7028909,200457.2,1639,8.17630895772265,0.4290552,7.48,5.95,0,27.6257527,21.2779185,25.7058849416667,31.2583333333333,21.3666666666667,2943.6654627,2730.644752,-0.255747933333333,-0.256958008333333,-0.232329883333333,0.819549708333333,0.536343066666667,1.22800850833333,12.6672159,0.1686237,13.6235025,0,0,0,0.0551643,0,145.7520802,0.0797464130797464,0,0,0.00193964379972539,0.383551111715512,0.85933908287091,0,0.981087543865097
2018,160101,165977.8466986,169299.5,1704,10.0650031453135,0.9008078,8.39,12.17,1,27.4841835,20.8617058,25.3816399916667,31.25,21.1916666666667,3030.4318155,2613.1164412,0.00701822499999999,-0.0315181083333333,-0.161019791666667,0.833598116666667,0.551726491666667,1.24889755,12.6955198,0.0597719,13.0687001,0,0,0,0.050011,0,145.49431,0.0784312032341143,0,0,0.00193964379972539,0.393218377400201,0.864509905136953,0,0.981382660990344
